attack,defense,metric
none,"GaussianSmoothing (k=3, sigma=0.2)",0.9249
none,"GaussianSmoothing (k=3, sigma=0.4)",0.9252
none,"GaussianSmoothing (k=3, sigma=0.6)",0.8971
none,"GaussianSmoothing (k=3, sigma=0.8)",0.8599
none,"GaussianSmoothing (k=5, sigma=0.2)",0.9249
none,"GaussianSmoothing (k=5, sigma=0.4)",0.9252
none,"GaussianSmoothing (k=5, sigma=0.6)",0.8953
none,"GaussianSmoothing (k=5, sigma=0.8)",0.8382
none,JpegCompression (q=50),0.8917
none,JpegCompression (q=70),0.8857
none,JpegCompression (q=90),0.9206
none,SpatialSmoothing (w=3),0.8449
none,SpatialSmoothing (w=5),0.6756
none,Total Variance Minimization (p=0.3),0.5524
