attack,defense,metric
PGD (eps=0.1),"GaussianSmoothing (k=3, sigma=0.4)",0.0000
PGD (eps=0.1),"GaussianSmoothing (k=3, sigma=0.6)",0.0000
PGD (eps=0.1),"GaussianSmoothing (k=3, sigma=0.8)",0.0004
PGD (eps=0.1),"GaussianSmoothing (k=5, sigma=0.2)",0.0000
PGD (eps=0.1),"GaussianSmoothing (k=5, sigma=0.4)",0.0000
PGD (eps=0.1),"GaussianSmoothing (k=5, sigma=0.6)",0.0000
PGD (eps=0.1),"GaussianSmoothing (k=5, sigma=0.8)",0.0013
PGD (eps=0.1),JpegCompression (q=50),0.0003
PGD (eps=0.1),JpegCompression (q=70),0.0001
PGD (eps=0.1),JpegCompression (q=90),0.0000
PGD (eps=0.1),SpatialSmoothing (w=3),0.0010
PGD (eps=0.1),SpatialSmoothing (w=5),0.2115
PGD (eps=0.1),Total Variance Minimization (p=0.3),0.5051
none,"GaussianSmoothing (k=3, sigma=0.2)",0.9400
none,"GaussianSmoothing (k=3, sigma=0.4)",0.9393
none,"GaussianSmoothing (k=3, sigma=0.6)",0.9138
none,"GaussianSmoothing (k=3, sigma=0.8)",0.8896
none,"GaussianSmoothing (k=5, sigma=0.2)",0.9400
none,"GaussianSmoothing (k=5, sigma=0.4)",0.9393
none,"GaussianSmoothing (k=5, sigma=0.6)",0.9128
none,"GaussianSmoothing (k=5, sigma=0.8)",0.8815
none,JpegCompression (q=50),0.9252
none,JpegCompression (q=70),0.9421
none,JpegCompression (q=90),0.9418
none,SpatialSmoothing (w=3),0.8713
none,SpatialSmoothing (w=5),0.7584
none,Total Variance Minimization (p=0.3),0.7929
